Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
11/28/1965,03:56:46,-45.847,-72.958,Earthquake,25,,,6.2,MW,,,,,,,ISCGEM852739,ISCGEM,ISCGEM,ISCGEM,Automatic
11/28/1965,05:26:06,36.096,27.318,Earthquake,77.4,,,5.9,MW,,,,,,,ISCGEM852740,ISCGEM,ISCGEM,ISCGEM,Automatic
11/28/1965,21:31:45,-4.841,103.103,Earthquake,60,,,5.8,MW,,,,,,,ISCGEMSUP852752,ISCGEMSUP,ISCGEM,ISCGEM,Automatic
12/04/1965,02:11:50,51.101,-170.604,Earthquake,15,,,5.8,MW,,,,,,,ISCGEM851508,ISCGEM,ISCGEM,ISCGEM,Automatic
12/05/1965,18:14:52,52.612,173.14,Earthquake,35,,,5.6,MW,,,,,,,ISCGEM851530,ISCGEM,ISCGEM,ISCGEM,Automatic
12/06/1965,11:34:55,18.919,-107.176,Earthquake,25,,,6.7,MW,,,,,,,ISCGEM851547,ISCGEM,ISCGEM,ISCGEM,Automatic
12/07/1965,22:19:17,-6.458,146.298,Earthquake,122.5,,,6.3,MW,,,,,,,ISCGEMSUP851584,ISCGEMSUP,ISCGEM,ISCGEM,Automatic
12/08/1965,18:05:27,-37.199,177.558,Earthquake,175,,,6,MW,,,,,,,ISCGEM851601,ISCGEM,ISCGEM,ISCGEM,Automatic
12/09/1965,06:07:47,17.135,-100.126,Earthquake,35,,,6.4,MW,,,,,,,ISCGEM851606,ISCGEM,ISCGEM,ISCGEM,Automatic
12/09/1965,13:12:56,-18.108,-178.062,Earthquake,645,,,6.2,MW,,,,,,,ISCGEM851614,ISCGEM,ISCGEM,ISCGEM,Automatic
12/10/1965,21:53:19,-11.292,166.143,Earthquake,52.8,,,5.9,MW,,,,,,,ISCGEM851639,ISCGEM,ISCGEM,ISCGEM,Automatic
12/13/1965,10:52:11,44.688,149.939,Earthquake,29.2,,,6,MW,,,,,,,ISCGEM851705,ISCGEM,ISCGEM,ISCGEM,Automatic
12/13/1965,14:46:12,44.757,150.195,Earthquake,23.1,,,5.6,MW,,,,,,,ISCGEM851711,ISCGEM,ISCGEM,ISCGEM,Automatic
12/15/1965,19:19:49,-56.722,-141.439,Earthquake,15,,,5.8,MW,,,,,,,ISCGEM851771,ISCGEM,ISCGEM,ISCGEM,Automatic
12/15/1965,23:05:25,7.65,-81.913,Earthquake,25,,,6.3,MW,,,,,,,ISCGEM851774,ISCGEM,ISCGEM,ISCGEM,Automatic
12/22/1965,00:28:51,52.293,160.356,Earthquake,26.9,,,5.8,MW,,,,,,,ISCGEM851890,ISCGEM,ISCGEM,ISCGEM,Automatic
12/22/1965,19:41:24,58.335,-153.303,Earthquake,52.4,,,6.1,MW,,,,,,,ISCGEM851909,ISCGEM,ISCGEM,ISCGEM,Automatic
12/23/1965,20:47:38,60.481,-140.766,Earthquake,20.1,,,5.6,MW,,,,,,,ISCGEM851933,ISCGEM,ISCGEM,ISCGEM,Automatic
12/25/1965,02:57:59,-18.096,-178.979,Earthquake,621.8,,,6.2,MW,,,,,,,ISCGEM851951,ISCGEM,ISCGEM,ISCGEM,Automatic
12/26/1965,03:53:12,-5.201,151.583,Earthquake,80.1,,,5.9,MW,,,,,,,ISCGEM851979,ISCGEM,ISCGEM,ISCGEM,Automatic
12/28/1965,20:32:27,27.863,141.992,Earthquake,45,,,5.8,MW,,,,,,,ISCGEM852030,ISCGEM,ISCGEM,ISCGEM,Automatic
12/30/1965,02:06:35,54.21,-164.476,Earthquake,35,,,5.6,MW,,,,,,,ISCGEM852053,ISCGEM,ISCGEM,ISCGEM,Automatic
12/30/1965,06:16:04,-16.673,-71.111,Earthquake,100,,,5.8,MW,,,,,,,ISCGEM852060,ISCGEM,ISCGEM,ISCGEM,Automatic
01/05/1966,17:21:29,13.248,95.42,Earthquake,25,,,5.8,MW,,,,,,,ISCGEM850665,ISCGEM,ISCGEM,ISCGEM,Automatic
01/11/1966,03:10:54,0.586,120.141,Earthquake,35,,,5.9,MW,,,,,,,ISCGEM850772,ISCGEM,ISCGEM,ISCGEM,Automatic
01/11/1966,14:16:32,33.675,137.244,Earthquake,15,,,6,MW,,,,,,,ISCGEM850781,ISCGEM,ISCGEM,ISCGEM,Automatic
01/13/1966,10:41:14,52.829,172.048,Earthquake,22.5,,,5.7,MW,,,,,,,ISCGEM850836,ISCGEM,ISCGEM,ISCGEM,Automatic
01/16/1966,09:11:51,52.764,172.058,Earthquake,22.5,,,5.8,MW,,,,,,,ISCGEM850905,ISCGEM,ISCGEM,ISCGEM,Automatic
01/20/1966,01:44:47,37.883,138.151,Earthquake,10,,,5.8,MW,,,,,,,ISCGEM851021,ISCGEM,ISCGEM,ISCGEM,Automatic
01/22/1966,14:27:09,55.956,-153.942,Earthquake,20,,,6.2,MW,,,,,,,ISCGEM851097,ISCGEM,ISCGEM,ISCGEM,Automatic
01/24/1966,07:23:10,30.013,69.606,Earthquake,10,,,5.8,MW,,,,,,,ISCGEM851175,ISCGEM,ISCGEM,ISCGEM,Automatic
01/26/1966,01:00:14,-59.548,-26.465,Earthquake,60,,,5.6,MW,,,,,,,ISCGEM851232,ISCGEM,ISCGEM,ISCGEM,Automatic
01/28/1966,05:42:17,-17.114,168.559,Earthquake,10,,,6,MW,,,,,,,ISCGEM851301,ISCGEM,ISCGEM,ISCGEM,Automatic
01/28/1966,22:38:14,51.514,157.119,Earthquake,115.6,,,5.6,MW,,,,,,,ISCGEM851328,ISCGEM,ISCGEM,ISCGEM,Automatic
01/31/1966,14:01:24,-24.837,-64.413,Earthquake,25,,,5.7,MW,,,,,,,ISCGEMSUP851422,ISCGEMSUP,ISCGEM,ISCGEM,Automatic
02/03/1966,05:48:11,0.211,123.555,Earthquake,158.6,,,5.7,MW,,,,,,,ISCGEM849825,ISCGEM,ISCGEM,ISCGEM,Automatic
02/03/1966,11:58:36,16.709,119.973,Earthquake,61.1,,,5.7,MW,,,,,,,ISCGEM849833,ISCGEM,ISCGEM,ISCGEM,Automatic
02/03/1966,17:57:42,24.13,121.966,Earthquake,25,,,5.8,MW,,,,,,,ISCGEM849843,ISCGEM,ISCGEM,ISCGEM,Automatic
02/04/1966,10:39:12,-15.899,167.914,Earthquake,180,,,6.4,MW,,,,,,,ISCGEM849861,ISCGEM,ISCGEM,ISCGEM,Automatic
02/05/1966,02:01:45,39.093,21.777,Earthquake,10,,,6.2,MW,,,,,,,ISCGEM849877,ISCGEM,ISCGEM,ISCGEM,Automatic
02/05/1966,15:12:31,26.246,103.187,Earthquake,10,,,6.4,MW,,,,,,,ISCGEM849911,ISCGEM,ISCGEM,ISCGEM,Automatic
02/05/1966,16:16:05,50.023,155.506,Earthquake,119.4,,,5.9,MW,,,,,,,ISCGEMSUP849913,ISCGEMSUP,ISCGEM,ISCGEM,Automatic
02/07/1966,04:26:13,29.956,69.761,Earthquake,10,,,6.5,MW,,,,,,,ISCGEM849961,ISCGEM,ISCGEM,ISCGEM,Automatic
02/07/1966,23:06:36,30.276,70.041,Earthquake,10,,,6.5,MW,,,,,,,ISCGEM849991,ISCGEM,ISCGEM,ISCGEM,Automatic
02/09/1966,04:40:32,-56.79,-25.965,Earthquake,40,,,6.3,MW,,,,,,,ISCGEM850033,ISCGEM,ISCGEM,ISCGEM,Automatic
02/09/1966,07:18:50,-9.851,116.376,Earthquake,45,,,5.8,MW,,,,,,,ISCGEM850037,ISCGEM,ISCGEM,ISCGEM,Automatic
02/10/1966,05:29:15,31.193,142.001,Earthquake,35,,,5.8,MW,,,,,,,ISCGEM850066,ISCGEM,ISCGEM,ISCGEM,Automatic
02/10/1966,14:21:13,20.711,146.163,Earthquake,45.7,,,6.5,MW,,,,,,,ISCGEM850077,ISCGEM,ISCGEM,ISCGEM,Automatic
02/13/1966,06:36:01,-6.561,132.642,Earthquake,35,,,6,MW,,,,,,,ISCGEM850145,ISCGEM,ISCGEM,ISCGEM,Automatic
02/13/1966,10:44:40,26.12,103.222,Earthquake,10,,,5.9,MW,,,,,,,ISCGEM850150,ISCGEM,ISCGEM,ISCGEM,Automatic
02/16/1966,03:18:29,-17.67,168.021,Earthquake,35,,,6.6,MW,,,,,,,ISCGEM850227,ISCGEM,ISCGEM,ISCGEM,Automatic
02/17/1966,11:48:00,-32.265,78.866,Earthquake,15,,,6.6,MW,,,,,,,ISCGEM850269,ISCGEM,ISCGEM,ISCGEM,Automatic
02/17/1966,12:42:59,-32.233,78.999,Earthquake,15,,,5.7,MW,,,,,,,ISCGEM850271,ISCGEM,ISCGEM,ISCGEM,Automatic
02/18/1966,06:59:04,6.709,123.842,Earthquake,35,,,5.9,MW,,,,,,,ISCGEM850284,ISCGEM,ISCGEM,ISCGEM,Automatic
02/21/1966,00:22:29,-55.495,-27.079,Earthquake,15,,,6,MW,,,,,,,ISCGEM850356,ISCGEM,ISCGEM,ISCGEM,Automatic
02/21/1966,13:18:50,26.14,125.744,Earthquake,120,,,5.6,MW,,,,,,,ISCGEM850367,ISCGEM,ISCGEM,ISCGEM,Automatic
02/22/1966,05:02:39,-5.388,151.592,Earthquake,35,,,6.9,MW,,,,,,,ISCGEM850390,ISCGEM,ISCGEM,ISCGEM,Automatic
02/25/1966,22:50:48,-15.404,-172.843,Earthquake,20,,,6,MW,,,,,,,ISCGEM850482,ISCGEM,ISCGEM,ISCGEM,Automatic
02/26/1966,00:33:50,52.55,173.462,Earthquake,35,,,5.6,MW,,,,,,,ISCGEM850487,ISCGEM,ISCGEM,ISCGEM,Automatic
02/28/1966,02:02:13,43.691,139.738,Earthquake,217.6,,,5.6,MW,,,,,,,ISCGEM850544,ISCGEM,ISCGEM,ISCGEM,Automatic
02/28/1966,13:35:42,29.244,130.344,Earthquake,45,,,6,MW,,,,,,,ISCGEM850553,ISCGEM,ISCGEM,ISCGEM,Automatic
02/28/1966,21:38:54,-25.983,-70.328,Earthquake,64.7,,,5.7,MW,,,,,,,ISCGEM850562,ISCGEM,ISCGEM,ISCGEM,Automatic
03/03/1966,03:25:29,48.256,154.425,Earthquake,45.8,,,5.8,MW,,,,,,,ISCGEM848903,ISCGEM,ISCGEM,ISCGEM,Automatic
03/04/1966,23:58:56,-38.747,178.061,Earthquake,30,,,5.9,MW,,,,,,,ISCGEM848946,ISCGEM,ISCGEM,ISCGEM,Automatic
03/06/1966,02:10:56,31.525,80.487,Earthquake,20,,,6.7,MW,,,,,,,ISCGEM848978,ISCGEM,ISCGEM,ISCGEM,Automatic
03/06/1966,02:15:56,31.422,80.554,Earthquake,20,,,6.3,MW,,,,,,,ISCGEM848981,ISCGEM,ISCGEM,ISCGEM,Automatic
03/07/1966,21:29:19,37.156,114.875,Earthquake,25,,,6.5,MW,,,,,,,ISCGEM849021,ISCGEM,ISCGEM,ISCGEM,Automatic
03/08/1966,01:13:43,-13.696,166.555,Earthquake,35,,,6.2,MW,,,,,,,ISCGEM849028,ISCGEM,ISCGEM,ISCGEM,Automatic
03/08/1966,05:41:06,1.903,126.334,Earthquake,35,,,6.2,MW,,,,,,,ISCGEM849033,ISCGEM,ISCGEM,ISCGEM,Automatic
03/08/1966,06:00:07,1.742,126.337,Earthquake,35,,,5.6,MW,,,,,,,ISCGEM849034,ISCGEM,ISCGEM,ISCGEM,Automatic
03/08/1966,20:46:12,-19.991,-68.842,Earthquake,108.6,,,5.8,MW,,,,,,,ISCGEMSUP849053,ISCGEMSUP,ISCGEM,ISCGEM,Automatic
03/12/1966,16:31:20,24.122,122.583,Earthquake,30,,,7.5,MW,,,,,,,ISCGEM849160,ISCGEM,ISCGEM,ISCGEM,Automatic
03/17/1966,15:50:33,-21.149,-179.093,Earthquake,625,,,6.7,MW,,,,,,,ISCGEM849341,ISCGEM,ISCGEM,ISCGEM,Automatic
03/19/1966,17:16:39,-52.655,19.709,Earthquake,10,,,5.6,MW,,,,,,,ISCGEM849390,ISCGEM,ISCGEM,ISCGEM,Automatic
